School_District_Names,SAT-Scores
JeffersonCountyR1,1014
JeffersonCountyR1,995
JeffersonCountyR1,787
JeffersonCountyR1,758
JeffersonCountyR1,877
JeffersonCountyR1,906
JeffersonCountyR1,890
JeffersonCountyR1,971
JeffersonCountyR1,995
JeffersonCountyR1,1001
JeffersonCountyR1,1040
JeffersonCountyR1,1031
JeffersonCountyR1,1123
JeffersonCountyR1,1117
JeffersonCountyR1,952
JeffersonCountyR1,968
JeffersonCountyR1,965
JeffersonCountyR1,995
JeffersonCountyR1,1045
JeffersonCountyR1,1057
JeffersonCountyR1,942
JeffersonCountyR1,920
JeffersonCountyR1,1028
JeffersonCountyR1,987
JeffersonCountyR1,967
JeffersonCountyR1,1002
JeffersonCountyR1,1005
JeffersonCountyR1,1052
JeffersonCountyR1,1093
JeffersonCountyR1,1128
JeffersonCountyR1,961
JeffersonCountyR1,1002
JeffersonCountyR1,1014
JeffersonCountyR1,1016
JeffersonCountyR1,1078
JeffersonCountyR1,1093
JeffersonCountyR1,1124
JeffersonCountyR1,1134
JeffersonCountyR1,1182
JeffersonCountyR1,1198
JeffersonCountyR1,1285
JeffersonCountyR1,1263
JeffersonCountyR1,1032
JeffersonCountyR1,1054
JeffersonCountyR1,1065
JeffersonCountyR1,1077
JeffersonCountyR1,1160
JeffersonCountyR1,1187
JeffersonCountyR1,957
JeffersonCountyR1,973
JeffersonCountyR1,977
JeffersonCountyR1,1026
JeffersonCountyR1,1070
JeffersonCountyR1,1079
JeffersonCountyR1,925
JeffersonCountyR1,957
JeffersonCountyR1,961
JeffersonCountyR1,968
JeffersonCountyR1,1018
JeffersonCountyR1,1065
JeffersonCountyR1,1025
JeffersonCountyR1,1018
JeffersonCountyR1,1081
JeffersonCountyR1,1070
JeffersonCountyR1,1188
JeffersonCountyR1,1149
JeffersonCountyR1,730
JeffersonCountyR1,782
JeffersonCountyR1,751
JeffersonCountyR1,816
JeffersonCountyR1,806
JeffersonCountyR1,800
JeffersonCountyR1,948
JeffersonCountyR1,952
JeffersonCountyR1,979
JeffersonCountyR1,1005
JeffersonCountyR1,1064
JeffersonCountyR1,1106
JeffersonCountyR1,756
JeffersonCountyR1,863
JeffersonCountyR1,894
JeffersonCountyR1,909
JeffersonCountyR1,917
JeffersonCountyR1,901
JeffersonCountyR1,915
JeffersonCountyR1,846
JeffersonCountyR1,880
JeffersonCountyR1,893
JeffersonCountyR1,881
JeffersonCountyR1,938
JeffersonCountyR1,975
JeffersonCountyR1,1006
JeffersonCountyR1,1033
JeffersonCountyR1,1054
JeffersonCountyR1,1073
JeffersonCountyR1,1126
JeffersonCountyR1,1142
JeffersonCountyR1,912
JeffersonCountyR1,937
JeffersonCountyR1,942
JeffersonCountyR1,977
JeffersonCountyR1,1031
JeffersonCountyR1,1080
JeffersonCountyR1,971
JeffersonCountyR1,893
JeffersonCountyR1,895
JeffersonCountyR1,905
JeffersonCountyR1,907
JeffersonCountyR1,1021
JeffersonCountyR1,993
ColoradoSprings11,812
ColoradoSprings11,849
ColoradoSprings11,935
ColoradoSprings11,876
ColoradoSprings11,823
ColoradoSprings11,857
ColoradoSprings11,853
ColoradoSprings11,927
ColoradoSprings11,889
ColoradoSprings11,966
ColoradoSprings11,1037
ColoradoSprings11,1053
ColoradoSprings11,864
ColoradoSprings11,877
ColoradoSprings11,934
ColoradoSprings11,963
ColoradoSprings11,964
ColoradoSprings11,1038
ColoradoSprings11,798
ColoradoSprings11,838
ColoradoSprings11,850
ColoradoSprings11,869
ColoradoSprings11,883
ColoradoSprings11,911
ColoradoSprings11,974
ColoradoSprings11,975
ColoradoSprings11,976
ColoradoSprings11,960
ColoradoSprings11,1076
ColoradoSprings11,1023
ColoradoSprings11,994
ColoradoSprings11,783
ColoradoSprings11,716
ColoradoSprings11,814
ColoradoSprings11,813
ColoradoSprings11,832
ColoradoSprings11,752
ColoradoSprings11,779
ColoradoSprings11,787
ColoradoSprings11,816
ColoradoSprings11,857
ColoradoSprings11,857
ColoradoSprings11,856
ColoradoSprings11,894
ColoradoSprings11,902
ColoradoSprings11,931
ColoradoSprings11,997
ColoradoSprings11,960
